2026-03-05 21:53:21 | INFO     | root | ================================================================================
2026-03-05 21:53:21 | INFO     | root | Log capture initialized: logs/simulation_20260305_215321.log
2026-03-05 21:53:21 | INFO     | root | ================================================================================
2026-03-05 21:53:21 | INFO     | __main__ | ================================================================================
2026-03-05 21:53:21 | INFO     | __main__ | 🚀 STREAMLIT APP STARTED
2026-03-05 21:53:21 | INFO     | __main__ | 📄 Full logs: logs/simulation_20260305_215321.log
2026-03-05 21:53:21 | INFO     | __main__ | ================================================================================
2026-03-05 21:53:21 | INFO     | agent.user_stories | UserStoryParser initialized: /Users/theolim/AppDev/RTD_SIM/agent/personas.yaml
2026-03-05 21:53:21 | INFO     | agent.job_stories | JobStoryParser initialized: /Users/theolim/AppDev/RTD_SIM/agent/job_contexts
2026-03-05 21:53:21 | INFO     | agent.user_stories | Loaded 10 user stories
2026-03-05 21:53:21 | INFO     | agent.job_stories | Loaded 25 stories from 6 YAML files
2026-03-05 21:53:21 | INFO     | agent.job_stories | Added 12 generated job templates
2026-03-05 21:53:25 | INFO     | agent.user_stories | UserStoryParser initialized: /Users/theolim/AppDev/RTD_SIM/agent/personas.yaml
2026-03-05 21:53:25 | INFO     | agent.job_stories | JobStoryParser initialized: /Users/theolim/AppDev/RTD_SIM/agent/job_contexts
2026-03-05 21:53:25 | INFO     | agent.user_stories | Loaded 10 user stories
2026-03-05 21:53:25 | INFO     | agent.job_stories | Loaded 25 stories from 6 YAML files
2026-03-05 21:53:25 | INFO     | agent.job_stories | Added 12 generated job templates
2026-03-05 21:53:28 | INFO     | agent.user_stories | UserStoryParser initialized: /Users/theolim/AppDev/RTD_SIM/agent/personas.yaml
2026-03-05 21:53:28 | INFO     | agent.job_stories | JobStoryParser initialized: /Users/theolim/AppDev/RTD_SIM/agent/job_contexts
2026-03-05 21:53:28 | INFO     | agent.user_stories | Loaded 10 user stories
2026-03-05 21:53:28 | INFO     | agent.job_stories | Loaded 25 stories from 6 YAML files
2026-03-05 21:53:28 | INFO     | agent.job_stories | Added 12 generated job templates
2026-03-05 21:53:29 | INFO     | agent.user_stories | UserStoryParser initialized: /Users/theolim/AppDev/RTD_SIM/agent/personas.yaml
2026-03-05 21:53:29 | INFO     | agent.job_stories | JobStoryParser initialized: /Users/theolim/AppDev/RTD_SIM/agent/job_contexts
2026-03-05 21:53:29 | INFO     | agent.user_stories | Loaded 10 user stories
2026-03-05 21:53:29 | INFO     | agent.job_stories | Loaded 25 stories from 6 YAML files
2026-03-05 21:53:29 | INFO     | agent.job_stories | Added 12 generated job templates
2026-03-05 21:53:29 | INFO     | simulation.simulation_runner | 🗺️ Phase 1: Environment setup
2026-03-05 21:53:29 | INFO     | simulation.spatial.graph_manager | Graph cache: /Users/theolim/.rtd_sim_cache/osm_graphs
2026-03-05 21:53:29 | INFO     | simulation.setup.environment_setup | Loading city: Edinburgh, UK
2026-03-05 21:53:29 | INFO     | simulation.spatial.graph_manager | Loading from cache: 17309e072c394faa.pkl
2026-03-05 21:53:29 | INFO     | simulation.spatial.graph_manager | Loaded: 13789 nodes, 31848 edges
2026-03-05 21:53:29 | INFO     | simulation.setup.environment_setup | ✅ Loaded Edinburgh, UK: 13,789 nodes, 31,848 edges
2026-03-05 21:53:29 | INFO     | simulation.simulation_runner | 🛣️ Phase 2: Route diversity (ultra_fast)
2026-03-05 21:53:29 | INFO     | simulation.simulation_runner | ✅ Route diversity: ultra_fast
2026-03-05 21:53:29 | INFO     | simulation.simulation_runner | 🔌 Phase 3: Infrastructure setup
2026-03-05 21:53:29 | INFO     | simulation.infrastructure.charging.station_registry | ChargingStationRegistry initialized
2026-03-05 21:53:29 | INFO     | simulation.infrastructure.grid.grid_capacity | GridCapacityManager initialized (50.0 MW)
2026-03-05 21:53:29 | INFO     | simulation.infrastructure.pricing.dynamic_pricing_engine | DynamicPricingEngine initialized (ToD: False)
2026-03-05 21:53:29 | INFO     | simulation.infrastructure.expansion.cost_recovery_tracker | CostRecoveryTracker initialized
2026-03-05 21:53:29 | INFO     | simulation.infrastructure.depots.depot_manager | DepotManager initialized
2026-03-05 21:53:29 | INFO     | simulation.infrastructure.weather.ev_range_adjuster | EVRangeAdjuster initialized
2026-03-05 21:53:29 | INFO     | simulation.infrastructure.infrastructure_manager | InfrastructureManager initialized (grid: 50.0 MW)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_000 at (-3.2658210834341554, 55.86948503489293)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_001 at (-3.2496362335157194, 55.973511913698275)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_002 at (-3.103902831734144, 55.90707740640954)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_003 at (-3.27152754388064, 55.860161228653496)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_004 at (-3.1911967354474, 55.85922863974807)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_005 at (-3.0739659263885675, 55.90486973869475)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_006 at (-3.224168193196493, 55.87210250553678)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_007 at (-3.069779237380887, 55.90186023155878)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_008 at (-3.141021593392644, 55.85282900735724)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_009 at (-3.292581892225102, 55.90508568846742)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_010 at (-3.1281608214913845, 55.888544924463645)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_011 at (-3.159476755973923, 55.98934743891587)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_012 at (-3.0588876120356803, 55.893887193961504)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_013 at (-3.2789748858805656, 55.98743728505238)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_014 at (-3.2695005380792166, 55.88143473664191)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_015 at (-3.231178203033085, 55.881980426398705)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_016 at (-3.1556879595272416, 55.9230242995427)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_017 at (-3.2025316030834614, 55.927838819318154)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_018 at (-3.2577021942089575, 55.91923025534382)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_019 at (-3.2257585450355926, 55.92530588528706)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_020 at (-3.235695275632929, 55.894076383115696)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_021 at (-3.1625337788437315, 55.9365730140096)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_022 at (-3.1124100869447284, 55.950240379183676)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_023 at (-3.2076670488400323, 55.96418375282813)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_024 at (-3.122188417638028, 55.93750673245349)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_025 at (-3.1139041317126708, 55.85559606157538)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_026 at (-3.3121923517410496, 55.95887381288576)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_027 at (-3.144352055678372, 55.936882147939855)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_028 at (-3.1391196676283797, 55.96470422774065)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_029 at (-3.0943929110232817, 55.99343925201591)
2026-03-05 21:53:29 | DEBUG    | simulation.infrastructure.charging.station_registry | Added charging station: public_030 at (-3.109884666757949, 55.926603809708375)
